tweet_count,user_name,text,created_at,retweet_count,favorite_count,reply_count
29,SlonkOnSol,"RT @COWBOY_TBC: 🚨 $TBC AIRDROP IS LIVE 🤠💅
To kick off the launch of The Blockchain Cowgirl on #Solana, we’re dropping tokens to early suppo…",2025-06-08 02:00:54+00:00,497,0,0
30,CARTI,"RT @cri90manfre: @CoinGurruu $ROACH the best gem 💎 for you to ape now!!!!
Investors are bagging right now 🤑💵

#memecoins
#SOLANA $ROACH 
CA…",2025-06-08 02:00:53+00:00,2,0,0
31,GasTracker,"RT @Shilling_Crypt: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a h…",2025-06-08 02:00:51+00:00,31,0,0
32,aki ⊹ vacay!,"RT @trumpvmusk: $TRUMPMUSK is officially live.

Born from pure ego, weaponized by memes.
No roadmap. No utility. Just Trump, Musk, and your…",2025-06-08 02:00:51+00:00,3816,0,0
33,elzavira,"RT @Shiler_Whale: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a hom…",2025-06-08 02:00:50+00:00,64,0,0
34,Womowebtechofficial,"RT @ivarsonofrag: If you're having issues withdrawing from #Cryptevo or #Xeber, consider reaching out for potential recovery assistance. #C…",2025-06-08 02:00:50+00:00,0,0,0
35,peony,"RT @Altcoinshillpro: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a…",2025-06-08 02:00:50+00:00,61,0,0
36,alyaa🪄,"RT @Altcoinshillpro: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a…",2025-06-08 02:00:47+00:00,61,0,0
37,GasTracker,"RT @Shiler_pump: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a home…",2025-06-08 02:00:46+00:00,31,0,0
38,Renzy king elj,"RT @staynoize: Don't forget to make more $noize today 🔊

coming soon , only on solana

Retweet &amp; Drop your solana wallet address. https://t…",2025-06-08 02:00:46+00:00,39,0,0
